group,line,priority,Investigator,NASA.Log,obsorturl,rflurl,rflhdr,Site.Name,pixel.size..m.,solar.azimuth,solar.elevation,start_time,line_id
2021-06-14_2,ang20210614t144735,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210614t144735.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t144735rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t144735rfl.hdr,254_AVIRIS_2020_IAPCH16_8,0.8,257.2,46.49,2021/06/14 14:47:35+00,6423
2021-06-16_1,ang20210616t092854,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210616t092854.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t092854rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t092854rfl.hdr,ANG_21_XYZ/20210616_IAP_11,0.6,124.57,33.95,2021/06/16 09:28:54+00,6424
2021-06-16_1,ang20210616t093351,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210616t093351.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t093351rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t093351rfl.hdr,ANG_21_XYZ/20210616_IAP_10,1,126.23,33.32,2021/06/16 09:33:51+00,6425
2021-06-16_1,ang20210616t094722,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210616t094722.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t094722rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t094722rfl.hdr,ANG_21_XYZ/20210616_IAP_8,0.7,130.79,31.55,2021/06/16 09:47:22+00,6426
2021-06-16_1,ang20210616t095317,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210616t095317.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t095317rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t095317rfl.hdr,ANG_21_XYZ/20210616_IAP_7,1.1,132.93,30.86,2021/06/16 09:53:17+00,6427
2021-06-16_1,ang20210616t095808,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210616t095808.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t095808rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t095808rfl.hdr,ANG_21_XYZ/20210616_IAP_13,0.8,134.91,30.29,2021/06/16 09:58:08+00,6428
2021-06-16_1,ang20210616t101157,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210616t101157.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t101157rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t101157rfl.hdr,ANG_21_XYZ/20210616_IAP_12,1,140.05,28.74,2021/06/16 10:11:57+00,6429
2021-06-16_1,ang20210616t101914,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210616t101914.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t101914rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t101914rfl.hdr,ANG_21_XYZ/20210616_IAP_18,1.1,142.61,28.16,2021/06/16 10:19:14+00,6430
2021-06-16_1,ang20210616t102332,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210616t102332.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t102332rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t102332rfl.hdr,ANG_21_XYZ/20210616_IAP_18,1,144.5,27.73,2021/06/16 10:23:32+00,6431
2021-06-16_1,ang20210616t103712,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210616t103712.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t103712rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210616t103712rfl.hdr,OENS_301,2.5,151.66,26.13,2021/06/16 10:37:12+00,6432
