jplgroup,Lines,url,rfl,rflhdr
2017_07_07_c00,ang20170707t005533,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t005533.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t005533_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t005533_rfl.hdr
2017_07_07_c00,ang20170707t010430,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t010430.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t010430_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t010430_rfl.hdr
2017_07_07_c01,ang20170707t182443,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t182443.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t182443_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t182443_rfl.hdr
2017_07_07_c01,ang20170707t231429,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t231429.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t231429_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t231429_rfl.hdr
2017_07_07_c01,ang20170707t233001,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t233001.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t233001_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t233001_rfl.hdr
2017_07_07_c02,ang20170707t183615,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t183615.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t183615_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t183615_rfl.hdr
2017_07_07_c02,ang20170707t230715,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t230715.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t230715_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t230715_rfl.hdr
2017_07_07_c03,ang20170707t190303,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t190303.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t190303_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t190303_rfl.hdr
2017_07_07_c04,ang20170707t191547,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t191547.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t191547_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t191547_rfl.hdr
2017_07_07_c05,ang20170707t200100,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t200100.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t200100_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t200100_rfl.hdr
2017_07_07_c05,ang20170707t201715,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t201715.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t201715_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t201715_rfl.hdr
2017_07_07_c06,ang20170707t203340,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t203340.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t203340_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t203340_rfl.hdr
